"filename", "language", "JSON", "C#", "XML", "Docker", "Markdown", "Dotenv", "JavaScript", "JavaScript JSX", "PostCSS", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\Categorias.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 17, 131
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 18, 169
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\Inventario.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 23, 191
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 11, 68
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\PedidoPublico.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 356, 0, 0, 0, 1, 48, 405
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\Productos.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 24, 231
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 12, 95
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\ReportesVentas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 19, 186
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\SeguimientoPedidoPublico.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 19, 153
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\pages\Venta.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 13, 91
"c:\Proyectos\jenappweb\JENAPP_WEB\React\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\CategoriesController.cs", "C#", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 112
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\ChatController.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\InventoryMovementsController.cs", "C#", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 51
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\PendingSalesController.cs", "C#", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48, 269
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\ProductsController.cs", "C#", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 155
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\ReportsController.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\SaleDetailsController.cs", "C#", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 130
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\SalesController.cs", "C#", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 88
"c:\Proyectos\jenappweb\JENAPP_WEB\Webapi\Controllers\UsersController.cs", "C#", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 144
